movie_name,is_adult,year_of_release,genres,actor_1,actor_2,actor_3,imdb_rating,comb
Main Aisa Hi Hoon,0,2005,drama family musical,ajay devgn,sushmita sen,esha deol,4.7,Main Aisa Hi Hoon drama family musical ajay devgn sushmita sen esha deol
Kyon Ki...,0,2005,drama romance,salman khan,kareena kapoor,rimi sen,5.5,Kyon Ki... drama romance salman khan kareena kapoor rimi sen
Main Meri Patni... Aur Woh!,0,2005,comedy drama romance,rajpal yadav,rituparna sengupta,naseeruddin shah,7.3,Main Meri Patni... Aur Woh! comedy drama romance rajpal yadav rituparna sengupta naseeruddin shah
I Did Not Kill Gandhi,0,2005,drama,anupam kher,urmila matondkar,parvin dabas,7.4,I Did Not Kill Gandhi drama anupam kher urmila matondkar parvin dabas
Maine Pyaar Kyun Kiya,0,2005,comedy drama romance,salman khan,sushmita sen,katrina kaif,5.5,Maine Pyaar Kyun Kiya comedy drama romance salman khan sushmita sen katrina kaif
Mangal Pandey The Rising,0,2005,biography drama history,aamir khan,rani mukerji,toby stephens,6.6,Mangal Pandey The Rising biography drama history aamir khan rani mukerji toby stephens
Koi Mere Dil Mein Hai,0,2005,drama romance,dia mirza,,unknown,4.8,Koi Mere Dil Mein Hai drama romance dia mirza  unknown
Mr Prime Minister,0,2005,comedy,dev anand,prem chopra,milind gunaji,5.1,Mr Prime Minister comedy dev anand prem chopra milind gunaji
My Brother... Nikhil,0,2005,drama sport,sanjay suri,juhi chawla,purab kohli,7.3,My Brother... Nikhil drama sport sanjay suri juhi chawla purab kohli
My Wife's Murder,0,2005,drama mystery thriller,anil kapoor,suchitra krishnamoorthi,nandana sen,6.2,My Wife's Murder drama mystery thriller anil kapoor suchitra krishnamoorthi nandana sen
Naina,0,2005,drama horror mystery,urmila matondkar,anuj sawhney,malavikka,4.3,Naina drama horror mystery urmila matondkar anuj sawhney malavikka
Neal 'N' Nikki,0,2005,comedy musical romance,uday chopra,tanishaa mukerji,abhishek bachchan,3.2,Neal 'N' Nikki comedy musical romance uday chopra tanishaa mukerji abhishek bachchan
No Entry,0,2005,comedy drama musical,anil kapoor,fardeen khan,salman khan,6.6,No Entry comedy drama musical anil kapoor fardeen khan salman khan
Padmashree Laloo Prasad Yadav,0,2005,comedy,sunil shetty,masumeh makhija,mahesh manjrekar,2.5,Padmashree Laloo Prasad Yadav comedy sunil shetty masumeh makhija mahesh manjrekar
Page 3,0,2005,drama,konkona sen sharma,atul kulkarni,sandhya mridul,7.3,Page 3 drama konkona sen sharma atul kulkarni sandhya mridul
Morning Raga,0,2004,drama music,shabana azmi,prakash kovelamudi,lillete dubey,6.9,Morning Raga drama music shabana azmi prakash kovelamudi lillete dubey
Parineeta,0,2005,drama musical romance,saif ali khan,vidya balan,sanjay dutt,7.2,Parineeta drama musical romance saif ali khan vidya balan sanjay dutt
Pehchaan The Face of Truth,0,2005,drama,vinod khanna,rati agnihotri,raveena tandon,5.8,Pehchaan The Face of Truth drama vinod khanna rati agnihotri raveena tandon
Paheli,0,2005,drama fantasy romance,shah rukh khan,rani mukerji,anupam kher,6.5,Paheli drama fantasy romance shah rukh khan rani mukerji anupam kher
Rog,0,2005,mystery romance thriller,irrfan khan,ilene hamann,himanshu malik,5.1,Rog mystery romance thriller irrfan khan ilene hamann himanshu malik
Pyaar Mein Twist,0,2005,comedy drama musical,rishi kapoor,dimple kapadia,,5.9,Pyaar Mein Twist comedy drama musical rishi kapoor dimple kapadia 
Salaam Namaste,0,2005,comedy drama romance,saif ali khan,preity zinta,arshad warsi,6.2,Salaam Namaste comedy drama romance saif ali khan preity zinta arshad warsi
Revati,0,2005,drama,kashmira shah,shreyas talpade,ayub khan,5.2,Revati drama kashmira shah shreyas talpade ayub khan
Sarkar,0,2005,action crime drama,amitabh bachchan,abhishek bachchan,kay kay menon,7.6,Sarkar action crime drama amitabh bachchan abhishek bachchan kay kay menon
Sehar,0,2005,action crime drama,arshad warsi,pankaj kapur,mahima chaudhry,7.8,Sehar action crime drama arshad warsi pankaj kapur mahima chaudhry
Shabd,0,2005,drama,sanjay dutt,aishwarya rai bachchan,zayed khan,5.1,Shabd drama sanjay dutt aishwarya rai bachchan zayed khan
Shabnam Mausi,0,2005,drama,ashutosh rana,,unknown,6.2,Shabnam Mausi drama ashutosh rana  unknown
Sheesha,0,2005,drama romance thriller,neha dhupia,sonu sood,vivek shauq,3.5,Sheesha drama romance thriller neha dhupia sonu sood vivek shauq
Ramji Londonwaley,0,2005,comedy drama family,madhavan,samita bangargi,satish shah,6.7,Ramji Londonwaley comedy drama family madhavan samita bangargi satish shah
Silsiilay,0,2005,drama,tabu,bhoomika chawla,riya sen,4.1,Silsiilay drama tabu bhoomika chawla riya sen
Socha Na Tha,0,2005,comedy romance,abhay deol,ayesha takia,ayesha jhulka,7.5,Socha Na Tha comedy romance abhay deol ayesha takia ayesha jhulka
Taj Mahal An Eternal Love Story,0,2005,drama history musical,zulfi sayed,sonya jehan,kabir bedi,5.2,Taj Mahal An Eternal Love Story drama history musical zulfi sayed sonya jehan kabir bedi
Tango Charlie,0,2005,action adventure drama,ajay devgn,bobby deol,sanjay dutt,6.0,Tango Charlie action adventure drama ajay devgn bobby deol sanjay dutt
The Film,0,2005,crime drama mystery,nassar abdulla,ravi baswani,rakesh bedi,6.5,The Film crime drama mystery nassar abdulla ravi baswani rakesh bedi
Vaada,0,2005,crime drama mystery,arjun rampal,zayed khan,ameesha patel,5.6,Vaada crime drama mystery arjun rampal zayed khan ameesha patel
Vaah! Life Ho Toh Aisi!,0,2005,comedy drama family,shahid kapoor,amrita rao,sanjay dutt,4.4,Vaah! Life Ho Toh Aisi! comedy drama family shahid kapoor amrita rao sanjay dutt
Ssukh,0,2005,comedy family romance,aarti chhabria,jackie shroff,,5.3,Ssukh comedy family romance aarti chhabria jackie shroff 
Shaadi No. 1,0,2005,comedy,fardeen khan,zayed khan,sharman joshi,3.5,Shaadi No. 1 comedy fardeen khan zayed khan sharman joshi
Viruddh... Family Comes First,0,2005,drama family,amitabh bachchan,sharmila tagore,john abraham,7.1,Viruddh... Family Comes First drama family amitabh bachchan sharmila tagore john abraham
Waqt The Race Against Time,0,2005,comedy drama family,amitabh bachchan,akshay kumar,priyanka chopra,6.8,Waqt The Race Against Time comedy drama family amitabh bachchan akshay kumar priyanka chopra
Vidhyaarthi The Power of Students,0,2006,action,vikram aditya,akash ajmera,ishrat ali,5.0,Vidhyaarthi The Power of Students action vikram aditya akash ajmera ishrat ali
Yakeen,0,2005,drama thriller,arjun rampal,priyanka chopra,kim sharma,5.1,Yakeen drama thriller arjun rampal priyanka chopra kim sharma
Zeher,0,2005,crime drama mystery,emraan hashmi,shamita shetty,udita goswami,5.4,Zeher crime drama mystery emraan hashmi shamita shetty udita goswami
Veer-Zaara,0,2004,drama family musical,shah rukh khan,preity zinta,rani mukerji,7.8,Veer-Zaara drama family musical shah rukh khan preity zinta rani mukerji
I'm Always Here,0,2004,action comedy drama,shah rukh khan,sushmita sen,sunil shetty,7.0,I'm Always Here action comedy drama shah rukh khan sushmita sen sunil shetty
Zameer,0,2005,drama romance,ajay devgn,ameesha patel,mahima chaudhry,2.9,Zameer drama romance ajay devgn ameesha patel mahima chaudhry
Mujhse Shaadi Karogi,0,2004,comedy drama musical,salman khan,akshay kumar,priyanka chopra,6.7,Mujhse Shaadi Karogi comedy drama musical salman khan akshay kumar priyanka chopra
Dhoom,0,2004,action crime thriller,abhishek bachchan,john abraham,uday chopra,6.7,Dhoom action crime thriller abhishek bachchan john abraham uday chopra
Khakee,0,2004,action crime drama,amitabh bachchan,akshay kumar,ajay devgn,7.4,Khakee action crime drama amitabh bachchan akshay kumar ajay devgn
Hum Tum,0,2004,comedy drama romance,saif ali khan,rani mukerji,kiron kher,7.0,Hum Tum comedy drama romance saif ali khan rani mukerji kiron kher
