movie_name,is_adult,year_of_release,genres,actor_1,actor_2,actor_3,imdb_rating,comb
Bal Bramhachari,0,1996,drama,puru rajkumar,karisma kapoor,deepak tijori,3.8,Bal Bramhachari drama puru rajkumar karisma kapoor deepak tijori
Bandish,0,1996,comedy drama romance,jackie shroff,juhi chawla,paresh rawal,4.6,Bandish comedy drama romance jackie shroff juhi chawla paresh rawal
Beqabu,0,1996,action drama family,sanjay kapoor,mamta kulkarni,amrish puri,4.2,Beqabu action drama family sanjay kapoor mamta kulkarni amrish puri
Bhishma,0,1996,action mystery,mithun chakraborty,harish,anjali jathar,4.5,Bhishma action mystery mithun chakraborty harish anjali jathar
Chaahat,0,1996,drama romance,naseeruddin shah,shah rukh khan,pooja bhatt,5.5,Chaahat drama romance naseeruddin shah shah rukh khan pooja bhatt
Chhote Sarkar,0,1996,comedy romance thriller,govinda,shilpa shetty kundra,aruna irani,4.7,Chhote Sarkar comedy romance thriller govinda shilpa shetty kundra aruna irani
Daraar,0,1996,action drama romance,rishi kapoor,juhi chawla,arbaaz khan,5.5,Daraar action drama romance rishi kapoor juhi chawla arbaaz khan
Dastak,0,1996,drama romance,sushmita sen,mukul dev,sharad s. kapoor,4.9,Dastak drama romance sushmita sen mukul dev sharad s. kapoor
Apne Dam Par,0,1996,action drama,vikas anand,sonali bendre,mithun chakraborty,6.2,Apne Dam Par action drama vikas anand sonali bendre mithun chakraborty
Diljale,0,1996,action drama romance,ajay devgn,sonali bendre,amrish puri,5.8,Diljale action drama romance ajay devgn sonali bendre amrish puri
Aatank,0,1996,action thriller,nafisa ali,dharmendra,girish karnad,4.0,Aatank action thriller nafisa ali dharmendra girish karnad
Dushman Duniya Ka,0,1996,drama,laila,mehmood,,4.1,Dushman Duniya Ka drama laila mehmood 
Daanveer,0,1996,action crime drama,vikas anand,anusha,asrani,4.4,Daanveer action crime drama vikas anand anusha asrani
Bambai Ka Babu,0,1996,action,saif ali khan,atul agnihotri,kajol,5.2,Bambai Ka Babu action saif ali khan atul agnihotri kajol
English Babu Desi Mem,0,1996,comedy drama musical,shah rukh khan,sonali bendre,rajeshwari,4.7,English Babu Desi Mem comedy drama musical shah rukh khan sonali bendre rajeshwari
Fire,0,1996,drama romance,karishma jhalani,ramanjeet kaur,dilip mehta,7.2,Fire drama romance karishma jhalani ramanjeet kaur dilip mehta
Bangaru Bullodu,0,1993,action drama romance,annapurnamma,nandamuri balakrishna,brahmanandam,7.4,Bangaru Bullodu action drama romance annapurnamma nandamuri balakrishna brahmanandam
Dil Tera Diwana,0,1996,drama,saif ali khan,twinkle khanna,shatrughan sinha,5.0,Dil Tera Diwana drama saif ali khan twinkle khanna shatrughan sinha
Is Raat Ki Subah Nahin,0,1996,thriller,murad ali,tara deshpande,kishore kadam,7.1,Is Raat Ki Subah Nahin thriller murad ali tara deshpande kishore kadam
Himmat,0,1996,action drama thriller,sunny deol,tabu,shilpa shetty kundra,4.7,Himmat action drama thriller sunny deol tabu shilpa shetty kundra
Ek Tha Raja,0,1996,action thriller,aditya pancholi,sunil shetty,saif ali khan,4.4,Ek Tha Raja action thriller aditya pancholi sunil shetty saif ali khan
Jaan,0,1996,action romance,ajay devgn,twinkle khanna,amrish puri,4.0,Jaan action romance ajay devgn twinkle khanna amrish puri
Himmatvar,0,1996,action drama,arun bakshi,gajendra chouhan,dharmendra,6.4,Himmatvar action drama arun bakshi gajendra chouhan dharmendra
Dushmani A Violent Love Story,0,1995,action drama romance,sunny deol,jackie shroff,manisha koirala,5.1,Dushmani A Violent Love Story action drama romance sunny deol jackie shroff manisha koirala
Loafer,0,1996,action comedy drama,anil kapoor,juhi chawla,kulbhushan kharbanda,5.1,Loafer action comedy drama anil kapoor juhi chawla kulbhushan kharbanda
Khiladiyon Ka Khiladi,0,1996,action crime drama,akshay kumar,rekha,raveena tandon,6.0,Khiladiyon Ka Khiladi action crime drama akshay kumar rekha raveena tandon
Krishna,0,1996,action drama romance,sunil shetty,karisma kapoor,shakti kapoor,4.6,Krishna action drama romance sunil shetty karisma kapoor shakti kapoor
Khamoshi The Musical,0,1996,drama musical romance,manisha koirala,nana patekar,salman khan,7.5,Khamoshi The Musical drama musical romance manisha koirala nana patekar salman khan
Maahir,0,1996,family,hema malini,govinda,farha naaz,3.3,Maahir family hema malini govinda farha naaz
Yeh Majhdhaar,0,1996,drama romance,salman khan,manisha koirala,rahul roy,3.4,Yeh Majhdhaar drama romance salman khan manisha koirala rahul roy
Fareb,0,1996,action crime drama,faraaz khan,suman ranganath,ashok lath,4.9,Fareb action crime drama faraaz khan suman ranganath ashok lath
Jung,0,1996,action crime drama,mithun chakraborty,ajay devgn,rambha,3.9,Jung action crime drama mithun chakraborty ajay devgn rambha
Masoom,0,1996,action,tinnu anand,sulabha arya,arun bakshi,5.9,Masoom action tinnu anand sulabha arya arun bakshi
Jurmana,0,1996,action,mithun chakraborty,rambha,ashwini bhave,5.7,Jurmana action mithun chakraborty rambha ashwini bhave
Muqaddar,0,1996,crime,ayesha jhulka,rohit kumar,simran,6.2,Muqaddar crime ayesha jhulka rohit kumar simran
Namak,0,1996,action drama family,raza murad,shakti kapoor,,4.2,Namak action drama family raza murad shakti kapoor 
Mafia,0,1996,action,ishrat ali,somy ali,bob anthony,5.1,Mafia action ishrat ali somy ali bob anthony
Mr. Bechara,0,1996,comedy,anil kapoor,sridevi,nagarjuna akkineni,5.5,Mr. Bechara comedy anil kapoor sridevi nagarjuna akkineni
PremGranth,0,1996,drama musical romance,shammi kapoor,rishi kapoor,madhuri dixit,5.7,PremGranth drama musical romance shammi kapoor rishi kapoor madhuri dixit
Megha,0,1996,romance,shammi kapoor,karisma kapoor,rahul roy,4.0,Megha romance shammi kapoor karisma kapoor rahul roy
Rajkumar,0,1996,drama family fantasy,naseeruddin shah,anil kapoor,madhuri dixit,4.6,Rajkumar drama family fantasy naseeruddin shah anil kapoor madhuri dixit
Rakshak,0,1996,action thriller,sunil shetty,karisma kapoor,sonali bendre,4.7,Rakshak action thriller sunil shetty karisma kapoor sonali bendre
Papa Kahte Hain,0,1996,comedy,anupam kher,jugal hansraj,mayuri kango,4.9,Papa Kahte Hain comedy anupam kher jugal hansraj mayuri kango
Maachis,0,1996,action crime drama,om puri,tabu,chandrachur singh,7.8,Maachis action crime drama om puri tabu chandrachur singh
Nirbhay,0,1996,action thriller,sadashiv amrapurkar,sangeeta bijlani,mithun chakraborty,5.4,Nirbhay action thriller sadashiv amrapurkar sangeeta bijlani mithun chakraborty
Rangbaaz,0,1996,action,ishrat ali,arjun,mithun chakraborty,6.0,Rangbaaz action ishrat ali arjun mithun chakraborty
Sapoot,0,1996,action crime drama,akshay kumar,sunil shetty,karisma kapoor,5.2,Sapoot action crime drama akshay kumar sunil shetty karisma kapoor
Sanshodhan,0,1996,drama,manoj bajpayee,vanya joshi,kishore kadam,7.5,Sanshodhan drama manoj bajpayee vanya joshi kishore kadam
Shastra,0,1996,action drama,sunil shetty,anjali jathar,anupam kher,4.9,Shastra action drama sunil shetty anjali jathar anupam kher
Ram Aur Shyam,0,1996,action crime drama,samrat,manek bedi,divya dutta,4.7,Ram Aur Shyam action crime drama samrat manek bedi divya dutta
Papi Gudia,0,1996,horror thriller,avinash wadhavan,karisma kapoor,tinnu anand,1.9,Papi Gudia horror thriller avinash wadhavan karisma kapoor tinnu anand
Return of Jewel Thief,0,1996,crime thriller,ashok kumar,dev anand,dharmendra,5.3,Return of Jewel Thief crime thriller ashok kumar dev anand dharmendra
Tere Mere Sapne,0,1996,action comedy drama,chandrachur singh,arshad warsi,priya gill,6.2,Tere Mere Sapne action comedy drama chandrachur singh arshad warsi priya gill
Vijeta,0,1996,action,sanjay dutt,raveena tandon,paresh rawal,4.3,Vijeta action sanjay dutt raveena tandon paresh rawal
Sardari Begum,0,1996,drama,amrish puri,kiron kher,smriti mishra,6.7,Sardari Begum drama amrish puri kiron kher smriti mishra
The Making of the Mahatma,0,1996,drama,rajit kapoor,pallavi joshi,keith stevenson,6.9,The Making of the Mahatma drama rajit kapoor pallavi joshi keith stevenson
Smuggler,0,1996,action crime,dharmendra,ayub khan,eva grover,4.8,Smuggler action crime dharmendra ayub khan eva grover
Tu Chor Main Sipahi,0,1996,action comedy drama,akshay kumar,saif ali khan,tabu,5.2,Tu Chor Main Sipahi action comedy drama akshay kumar saif ali khan tabu
Zordaar,0,1996,action,mahesh anand,vikas anand,bob christo,5.3,Zordaar action mahesh anand vikas anand bob christo
Aatank Hi Aatank,0,1995,action crime drama,rajinikanth,aamir khan,juhi chawla,5.4,Aatank Hi Aatank action crime drama rajinikanth aamir khan juhi chawla
Aazmayish,0,1995,drama,rohit kumar,dharmendra,anjali jathar,5.2,Aazmayish drama rohit kumar dharmendra anjali jathar
Ahankaar,0,1995,drama,mithun chakraborty,mamta kulkarni,prem chopra,6.5,Ahankaar drama mithun chakraborty mamta kulkarni prem chopra
Akele Hum Akele Tum,0,1995,drama romance,aamir khan,manisha koirala,master adil,7.0,Akele Hum Akele Tum drama romance aamir khan manisha koirala master adil
Vishwasghaat,0,1996,action,sunil shetty,anjali jathar,anupam kher,5.4,Vishwasghaat action sunil shetty anjali jathar anupam kher
Andolan,0,1995,action comedy drama,ishrat ali,somy ali,divya bharti,5.2,Andolan action comedy drama ishrat ali somy ali divya bharti
Angrakshak,0,1995,action romance,sunny deol,pooja bhatt,rami reddy,4.4,Angrakshak action romance sunny deol pooja bhatt rami reddy
Baazi,0,1995,action crime drama,aamir khan,mamta kulkarni,paresh rawal,6.6,Baazi action crime drama aamir khan mamta kulkarni paresh rawal
Barsaat,0,1995,action romance,bobby deol,twinkle khanna,raj babbar,5.3,Barsaat action romance bobby deol twinkle khanna raj babbar
Bewafa Sanam,0,1995,drama romance,krishan kumar,shilpa shirodkar,sagar,6.4,Bewafa Sanam drama romance krishan kumar shilpa shirodkar sagar
Coolie No. 1,0,1995,comedy,govinda,karisma kapoor,harish,6.2,Coolie No. 1 comedy govinda karisma kapoor harish
Yash,0,1996,musical,bijay anand,kartika rane,parikshat sahni,6.2,Yash musical bijay anand kartika rane parikshat sahni
Gaddaar,0,1995,action drama romance,sunil shetty,harish,sonali bendre,4.4,Gaddaar action drama romance sunil shetty harish sonali bendre
Dilwale Dulhania Le Jayenge,0,1995,drama romance,shah rukh khan,kajol,amrish puri,8.1,Dilwale Dulhania Le Jayenge drama romance shah rukh khan kajol amrish puri
Criminal,0,1995,action romance thriller,nagarjuna akkineni,manisha koirala,ramya krishnan,5.7,Criminal action romance thriller nagarjuna akkineni manisha koirala ramya krishnan
Dil Ka Doctor,0,1995,comedy,anupam kher,,unknown,3.6,Dil Ka Doctor comedy anupam kher  unknown
Diya Aur Toofan,0,1995,action crime drama,mithun chakraborty,madhoo,,4.3,Diya Aur Toofan action crime drama mithun chakraborty madhoo 
Ab Insaf Hoga,0,1995,action drama,rekha,mithun chakraborty,,5.2,Ab Insaf Hoga action drama rekha mithun chakraborty 
Fauji,0,1995,action crime drama,master altaf,raj babbar,suresh chatwal,4.7,Fauji action crime drama master altaf raj babbar suresh chatwal
Haathkadi,0,1995,action comedy drama,govinda,shilpa shetty kundra,madhoo,4.2,Haathkadi action comedy drama govinda shilpa shetty kundra madhoo
Gundaraj,0,1995,action,ajay devgn,amrish puri,kajol,4.3,Gundaraj action ajay devgn amrish puri kajol
Haqeeqat,0,1995,action drama romance,ajay devgn,tabu,aruna irani,4.5,Haqeeqat action drama romance ajay devgn tabu aruna irani
Hulchul,0,1995,action comedy crime,vinod khanna,ajay devgn,kajol,4.5,Hulchul action comedy crime vinod khanna ajay devgn kajol
God and Gun,0,1995,drama,raaj kumar,jackie shroff,gautami,5.1,God and Gun drama raaj kumar jackie shroff gautami
Gunehgar,0,1995,drama,atul agnihotri,ishrat ali,pooja bhatt,4.3,Gunehgar drama atul agnihotri ishrat ali pooja bhatt
Guddu,0,1995,drama romance,deepti naval,ashok saraf,manisha koirala,4.2,Guddu drama romance deepti naval ashok saraf manisha koirala
Hum Dono,0,1995,action comedy thriller,rishi kapoor,nana patekar,pooja bhatt,6.1,Hum Dono action comedy thriller rishi kapoor nana patekar pooja bhatt
Jallaad,0,1995,action drama,mithun chakraborty,madhoo,rambha,5.6,Jallaad action drama mithun chakraborty madhoo rambha
Janam Kundli,0,1995,drama,jeetendra,vinod khanna,reena roy,4.1,Janam Kundli drama jeetendra vinod khanna reena roy
Jawab,0,1995,action drama romance,raaj kumar,karisma kapoor,harish,3.6,Jawab action drama romance raaj kumar karisma kapoor harish
Karan Arjun,0,1995,action comedy fantasy,rakhee gulzar,salman khan,shah rukh khan,6.8,Karan Arjun action comedy fantasy rakhee gulzar salman khan shah rukh khan
Kartavya,0,1995,action drama thriller,sanjay kapoor,juhi chawla,moushumi chatterjee,5.2,Kartavya action drama thriller sanjay kapoor juhi chawla moushumi chatterjee
Jai Vikraanta,0,1995,action,sanjay dutt,zeba bakhtiar,amrish puri,5.3,Jai Vikraanta action sanjay dutt zeba bakhtiar amrish puri
Kalyug Ke Avtaar,0,1995,action romance,jeetendra,reena roy,madhoo,2.8,Kalyug Ke Avtaar action romance jeetendra reena roy madhoo
Mera Damad,0,1995,comedy drama,utpal dutt,ashok kumar,farooq shaikh,4.5,Mera Damad comedy drama utpal dutt ashok kumar farooq shaikh
Hum Sab Chor Hain,0,1995,action crime drama,jeetendra,dharmendra,kamal sadanah,3.4,Hum Sab Chor Hain action crime drama jeetendra dharmendra kamal sadanah
The Morning Breeze,0,1995,drama,kaifi azmi,mayuri kango,seema kelkar,7.5,The Morning Breeze drama kaifi azmi mayuri kango seema kelkar
Naajayaz,0,1995,action drama,naseeruddin shah,ajay devgn,juhi chawla,5.5,Naajayaz action drama naseeruddin shah ajay devgn juhi chawla
Nazar Ke Samne,0,1995,action crime drama,akshay kumar,farheen,ekta sohini,5.1,Nazar Ke Samne action crime drama akshay kumar farheen ekta sohini
Kismat,0,1995,action drama family,rakhee gulzar,govinda,mamta kulkarni,5.4,Kismat action drama family rakhee gulzar govinda mamta kulkarni
Oh Darling Yeh Hai India,0,1995,comedy,shah rukh khan,deepa sahi,javed jaffrey,4.2,Oh Darling Yeh Hai India comedy shah rukh khan deepa sahi javed jaffrey
Nishana,0,1995,drama family,mithun chakraborty,rekha,paresh rawal,5.2,Nishana drama family mithun chakraborty rekha paresh rawal
Maidan-E-Jung,0,1995,action drama,dharmendra,akshay kumar,karisma kapoor,4.5,Maidan-E-Jung action drama dharmendra akshay kumar karisma kapoor
Policewala Gunda,0,1995,action,dharmendra,reena roy,mamta kulkarni,5.2,Policewala Gunda action dharmendra reena roy mamta kulkarni
Prem,0,1995,action drama romance,sanjay kapoor,tabu,deepak tijori,4.1,Prem action drama romance sanjay kapoor tabu deepak tijori
Milan,0,1995,action crime romance,jackie shroff,manisha koirala,paresh rawal,5.6,Milan action crime romance jackie shroff manisha koirala paresh rawal
Param Vir Chakra,0,1995,war,saeed jaffrey,kulbhushan kharbanda,hema malini,6.9,Param Vir Chakra war saeed jaffrey kulbhushan kharbanda hema malini
Raja,0,1995,action drama romance,sanjay kapoor,madhuri dixit,mukesh khanna,5.3,Raja action drama romance sanjay kapoor madhuri dixit mukesh khanna
Paandav,0,1995,action drama,akshay kumar,nandini,prithvi,4.3,Paandav action drama akshay kumar nandini prithvi
Rangeela,0,1995,comedy drama musical,urmila matondkar,aamir khan,jackie shroff,7.5,Rangeela comedy drama musical urmila matondkar aamir khan jackie shroff
Ram Jaane,0,1995,action crime drama,shah rukh khan,juhi chawla,vivek mushran,5.4,Ram Jaane action crime drama shah rukh khan juhi chawla vivek mushran
Ram Shastra,0,1995,action drama,jackie shroff,manisha koirala,deepti bhatnagar,4.2,Ram Shastra action drama jackie shroff manisha koirala deepti bhatnagar
Raasaiyya,0,1995,comedy drama,prabhu deva,roja,m.n. nambiar,5.1,Raasaiyya comedy drama prabhu deva roja m.n. nambiar
Paappi Devataa,0,1995,action drama,dharmendra,jeetendra,jaya prada,4.8,Paappi Devataa action drama dharmendra jeetendra jaya prada
Saajan Ki Baahon Mein,0,1995,drama family romance,rishi kapoor,raveena tandon,sumeet saigal,3.9,Saajan Ki Baahon Mein drama family romance rishi kapoor raveena tandon sumeet saigal
Rock Dancer,0,1995,crime drama musical,kamal sadanah,ritu shivpuri,ronit roy,4.3,Rock Dancer crime drama musical kamal sadanah ritu shivpuri ronit roy
Ravan Raaj A True Story,0,1995,action crime thriller,ishrat ali,mithun chakraborty,jack gaud,7.1,Ravan Raaj A True Story action crime thriller ishrat ali mithun chakraborty jack gaud
Sauda,0,1995,romance,sumeet saigal,neelam kothari,vikas bhalla,4.7,Sauda romance sumeet saigal neelam kothari vikas bhalla
Surakshaa,0,1995,action romance thriller,saif ali khan,aditya pancholi,sunil shetty,4.2,Surakshaa action romance thriller saif ali khan aditya pancholi sunil shetty
Takkar,0,1995,action crime drama,naseeruddin shah,sunil shetty,sonali bendre,4.6,Takkar action crime drama naseeruddin shah sunil shetty sonali bendre
Taqdeerwala,0,1995,action comedy fantasy,venkatesh daggubati,raveena tandon,asrani,6.6,Taqdeerwala action comedy fantasy venkatesh daggubati raveena tandon asrani
Sanjay,0,1995,crime,ayub khan,shakti kapoor,sakshi shivanand,3.9,Sanjay crime ayub khan shakti kapoor sakshi shivanand
Sabse Bada Khiladi,0,1995,action crime thriller,akshay kumar,mamta kulkarni,mohnish bahl,6.0,Sabse Bada Khiladi action crime thriller akshay kumar mamta kulkarni mohnish bahl
Gambler,0,1995,action comedy crime,govinda,shilpa shetty kundra,aditya pancholi,5.1,Gambler action comedy crime govinda shilpa shetty kundra aditya pancholi
Yaraana,0,1995,action drama musical,rishi kapoor,madhuri dixit,raj babbar,4.7,Yaraana action drama musical rishi kapoor madhuri dixit raj babbar
Veergati,0,1995,action drama,salman khan,atul agnihotri,sudesh berry,5.3,Veergati action drama salman khan atul agnihotri sudesh berry
Sarhad The Border of Crime,0,1995,action crime drama,raj babbar,farha naaz,deepak tijori,3.4,Sarhad The Border of Crime action crime drama raj babbar farha naaz deepak tijori
Mohra,0,1994,action drama thriller,akshay kumar,raveena tandon,naseeruddin shah,6.9,Mohra action drama thriller akshay kumar raveena tandon naseeruddin shah
Target,0,1995,drama,mohan agashe,barun chakraborty,champa,7.7,Target drama mohan agashe barun chakraborty champa
Taaqat,0,1995,crime romance,dharmendra,shatrughan sinha,kajol,5.1,Taaqat crime romance dharmendra shatrughan sinha kajol
Hum Aapke Hain Koun...!,0,1994,comedy drama musical,madhuri dixit,salman khan,mohnish bahl,7.5,Hum Aapke Hain Koun...! comedy drama musical madhuri dixit salman khan mohnish bahl
Raja Babu,0,1994,action comedy drama,govinda,karisma kapoor,shakti kapoor,6.3,Raja Babu action comedy drama govinda karisma kapoor shakti kapoor
Krantiveer,0,1994,action crime drama,nana patekar,dimple kapadia,atul agnihotri,7.4,Krantiveer action crime drama nana patekar dimple kapadia atul agnihotri
The Don,0,1995,crime drama,mithun chakraborty,sonali bendre,jugal hansraj,6.1,The Don crime drama mithun chakraborty sonali bendre jugal hansraj
Laadla,0,1994,drama family,anil kapoor,sridevi,raveena tandon,5.8,Laadla drama family anil kapoor sridevi raveena tandon
Yeh Dillagi,0,1994,comedy drama musical,kajol,akshay kumar,saif ali khan,6.0,Yeh Dillagi comedy drama musical kajol akshay kumar saif ali khan
Yeh Dillagi,0,1994,comedy drama musical,kajol,akshay kumar,saif ali khan,6.0,Yeh Dillagi comedy drama musical kajol akshay kumar saif ali khan
Yeh Dillagi,0,1994,comedy drama musical,kajol,akshay kumar,saif ali khan,6.0,Yeh Dillagi comedy drama musical kajol akshay kumar saif ali khan
Yeh Dillagi,0,1994,comedy drama musical,kajol,akshay kumar,saif ali khan,6.0,Yeh Dillagi comedy drama musical kajol akshay kumar saif ali khan
Yeh Dillagi,0,1994,comedy drama musical,kajol,akshay kumar,saif ali khan,6.0,Yeh Dillagi comedy drama musical kajol akshay kumar saif ali khan
Yeh Dillagi,0,1994,comedy drama musical,kajol,akshay kumar,saif ali khan,6.0,Yeh Dillagi comedy drama musical kajol akshay kumar saif ali khan
Yeh Dillagi,0,1994,comedy drama musical,kajol,akshay kumar,saif ali khan,6.0,Yeh Dillagi comedy drama musical kajol akshay kumar saif ali khan
Yeh Dillagi,0,1994,comedy drama musical,kajol,akshay kumar,saif ali khan,6.0,Yeh Dillagi comedy drama musical kajol akshay kumar saif ali khan
Main Khiladi Tu Anari,0,1994,action comedy drama,akshay kumar,saif ali khan,shilpa shetty kundra,6.5,Main Khiladi Tu Anari action comedy drama akshay kumar saif ali khan shilpa shetty kundra
Dilwale,0,1994,action drama romance,ajay devgn,sunil shetty,raveena tandon,5.6,Dilwale action drama romance ajay devgn sunil shetty raveena tandon
Suhaag,0,1994,action comedy drama,ajay devgn,akshay kumar,karisma kapoor,5.7,Suhaag action comedy drama ajay devgn akshay kumar karisma kapoor
Vijaypath,0,1994,action drama,ajay devgn,tabu,suresh oberoi,4.9,Vijaypath action drama ajay devgn tabu suresh oberoi
Zamaana Deewana,0,1995,action comedy drama,jeetendra,shatrughan sinha,shah rukh khan,4.8,Zamaana Deewana action comedy drama jeetendra shatrughan sinha shah rukh khan
Trimurti,0,1995,action drama,jackie shroff,anil kapoor,shah rukh khan,4.8,Trimurti action drama jackie shroff anil kapoor shah rukh khan
Aa Gale Lag Jaa,0,1994,romance,jugal hansraj,urmila matondkar,paresh rawal,5.2,Aa Gale Lag Jaa romance jugal hansraj urmila matondkar paresh rawal
Aag,0,1994,action comedy drama,govinda,shilpa shetty kundra,sonali bendre,4.6,Aag action comedy drama govinda shilpa shetty kundra sonali bendre
1942 A Love Story,0,1994,action drama musical,anil kapoor,jackie shroff,manisha koirala,7.2,1942 A Love Story action drama musical anil kapoor jackie shroff manisha koirala
Aag Andhi Aur Toofan,0,1994,action thriller,mukesh khanna,kiran kumar,johnny lever,3.4,Aag Andhi Aur Toofan action thriller mukesh khanna kiran kumar johnny lever
Aatish Feel the Fire,0,1994,action crime drama,sanjay dutt,aditya pancholi,raveena tandon,5.8,Aatish Feel the Fire action crime drama sanjay dutt aditya pancholi raveena tandon
Andaz,0,1994,action comedy drama,anil kapoor,juhi chawla,karisma kapoor,4.3,Andaz action comedy drama anil kapoor juhi chawla karisma kapoor
Everyone Has Their Own Style,0,1994,comedy family romance,aamir khan,salman khan,raveena tandon,8.2,Everyone Has Their Own Style comedy family romance aamir khan salman khan raveena tandon
Amaanat,0,1994,action drama,sanjay dutt,akshay kumar,heera rajgopal,4.9,Amaanat action drama sanjay dutt akshay kumar heera rajgopal
Aranyaka,0,1994,drama,mohan gokhale,yagnaseni jena,sanjana kapoor,6.5,Aranyaka drama mohan gokhale yagnaseni jena sanjana kapoor
Baali Umar Ko Salaam,0,1994,action comedy drama,kamal sadanah,tisca chopra,beena banerjee,4.7,Baali Umar Ko Salaam action comedy drama kamal sadanah tisca chopra beena banerjee
Anjaam,0,1994,drama thriller,madhuri dixit,shah rukh khan,tinnu anand,6.9,Anjaam drama thriller madhuri dixit shah rukh khan tinnu anand
Aag Aur Chingari,0,1994,action,alpana,aparajita,asrani,4.0,Aag Aur Chingari action alpana aparajita asrani
Brahma,0,1994,crime drama mystery,govinda,madhoo,ayesha jhulka,5.2,Brahma crime drama mystery govinda madhoo ayesha jhulka
Betaaj Badshah,0,1994,action,raaj kumar,shatrughan sinha,jay mehta,5.4,Betaaj Badshah action raaj kumar shatrughan sinha jay mehta
Chaand Kaa Tukdaa,0,1994,action comedy crime,sridevi,salman khan,anupam kher,3.6,Chaand Kaa Tukdaa action comedy crime sridevi salman khan anupam kher
Aao Pyaar Karen,0,1994,romance,saif ali khan,shilpa shetty kundra,somy ali,4.1,Aao Pyaar Karen romance saif ali khan shilpa shetty kundra somy ali
Dilbar,0,1994,drama romance,mamta kulkarni,rishikesh raj,nawaz khan,3.9,Dilbar drama romance mamta kulkarni rishikesh raj nawaz khan
Chauraha,0,1994,drama,jeetendra,jackie shroff,jaya prada,4.3,Chauraha drama jeetendra jackie shroff jaya prada
Cheetah,0,1994,action drama,vikas anand,rakesh bedi,ashwini bhave,6.1,Cheetah action drama vikas anand rakesh bedi ashwini bhave
Beta Ho To Aisa,0,1994,drama,vikas anand,anuradha,asrani,4.1,Beta Ho To Aisa drama vikas anand anuradha asrani
Anth,0,1994,action,sunil shetty,somy ali,paresh rawal,4.7,Anth action sunil shetty somy ali paresh rawal
Bandit Queen,0,1994,biography crime drama,seema biswas,nirmal pandey,rajesh vivek,7.6,Bandit Queen biography crime drama seema biswas nirmal pandey rajesh vivek
Droh Kaal,0,1994,drama thriller,om puri,naseeruddin shah,mita vasisht,7.5,Droh Kaal drama thriller om puri naseeruddin shah mita vasisht
Ekka Raja Rani,0,1994,action comedy drama,vinod khanna,govinda,ayesha jhulka,5.3,Ekka Raja Rani action comedy drama vinod khanna govinda ayesha jhulka
Elaan,0,1994,action crime thriller,akshay kumar,amrish puri,madhoo,5.4,Elaan action crime thriller akshay kumar amrish puri madhoo
Eena Meena Deeka,0,1994,action comedy crime,vinod khanna,rishi kapoor,juhi chawla,4.6,Eena Meena Deeka action comedy crime vinod khanna rishi kapoor juhi chawla
Chhoti Bahoo,0,1994,drama family,vikas anand,beena banerjee,bindu,5.9,Chhoti Bahoo drama family vikas anand beena banerjee bindu
Do Fantoosh,0,1994,comedy,sadashiv amrapurkar,vikas anand,ishita babbar,2.9,Do Fantoosh comedy sadashiv amrapurkar vikas anand ishita babbar
Dulaara,0,1994,crime mystery thriller,govinda,karisma kapoor,ranjeet,4.6,Dulaara crime mystery thriller govinda karisma kapoor ranjeet
Ghar Ki Izzat,0,1994,comedy musical romance,jeetendra,rishi kapoor,anita raj,5.0,Ghar Ki Izzat comedy musical romance jeetendra rishi kapoor anita raj
Hanste Khelte,0,1994,comedy drama fantasy,ishrat ali,aparajita,asrani,6.6,Hanste Khelte comedy drama fantasy ishrat ali aparajita asrani
Hum Hain Bemisaal,0,1994,action crime drama,akshay kumar,sunil shetty,shilpa shirodkar,5.1,Hum Hain Bemisaal action crime drama akshay kumar sunil shetty shilpa shirodkar
Ganga Aur Ranga,0,1994,action,sahila chaddha,suresh chatwal,anita chopra,2.4,Ganga Aur Ranga action sahila chaddha suresh chatwal anita chopra
Insaaf Apne Lahoo Se,0,1994,action drama,shatrughan sinha,sanjay dutt,shekhar suman,5.1,Insaaf Apne Lahoo Se action drama shatrughan sinha sanjay dutt shekhar suman
Jai Kishen,0,1994,action drama,akshay kumar,ayesha jhulka,chandni,5.3,Jai Kishen action drama akshay kumar ayesha jhulka chandni
Janam Se Pehle,0,1994,crime thriller,raj babbar,farha naaz,sumeet saigal,4.2,Janam Se Pehle crime thriller raj babbar farha naaz sumeet saigal
Gopi Kishan,0,1994,action comedy drama,sunil shetty,karisma kapoor,shilpa shirodkar,5.5,Gopi Kishan action comedy drama sunil shetty karisma kapoor shilpa shirodkar
Gangster,0,1994,action drama thriller,mamta kulkarni,manu gargi,anita ayoob,5.2,Gangster action drama thriller mamta kulkarni manu gargi anita ayoob
Ikke Pe Ikka,0,1994,action comedy,akshay kumar,shanti priya,prithvi,3.7,Ikke Pe Ikka action comedy akshay kumar shanti priya prithvi
Kabhi Haan Kabhi Naa,0,1994,comedy drama music,shah rukh khan,suchitra krishnamoorthi,deepak tijori,7.8,Kabhi Haan Kabhi Naa comedy drama music shah rukh khan suchitra krishnamoorthi deepak tijori
Insaniyat,0,1994,action crime drama,tom alter,sadashiv amrapurkar,amitabh bachchan,3.1,Insaniyat action crime drama tom alter sadashiv amrapurkar amitabh bachchan
Khuddar,0,1994,action drama musical,govinda,karisma kapoor,shakti kapoor,5.2,Khuddar action drama musical govinda karisma kapoor shakti kapoor
